ᐃᒡᓗᖁᑎᒋᔭᐅᖕᒪᖔᑕ	ᐃᒡᓗ@ᖁᑎ@ᒋ@ᔭ@ᐅ@ᖕᒪᖔᑕ
ᐃᓄᖕᒧᑦ	ᐃᓄᖕ@ᒧᑦ
ᐱᕚᓪᓕᕈᑕᐅᓚᐅᕆᕗᖅ	ᐱ@ᕚᓪᓕ@ᕈᑕ@ᐅ@ᓚᐅ@ᕆ@ᕗᖅ
ᐱᓕᕆᕚᓪᓕᕈᓐᓇᕐᒪᖔᑕ	ᐱ@ᓕᕆ@ᕚᓪᓕ@ᕈᓐᓇᕐ@ᒪᖔᑕ
ᑰᑕᖃᕐᓂᕐᒧᑦ	ᑰ@ᑕᖃᕐ@ᓂᕐ@ᒧᑦ
ᑲᔪᓯᔪᒪᑉᐸᑦ	ᑲᔪᓯ@ᔪᒪ@ᑉᐸᑦ
ᒐᕙᒪᒋᔭᐅᔪᑎᒍᑦ	ᒐᕙᒪ@ᒋ@ᔭ@ᐅ@ᔪ@ᑎᒍᑦ
ᐱᖁᔨᕚᑦ	ᐱ@ᖁ@ᔨ@ᕚᑦ
ᐊᓯᐊᑦᑕᐅᖅ	ᐊᓯ@ᐊ@ᑦᑕᐅᖅ
ᐃᓄᒋᐊᒃᓯᑲᓐᓂᖅᑐᑦ	ᐃᓄᒋᐊᒃ@ᓯ@ᑲᓐᓂᖅ@ᑐᑦ
ᓄᕙᕐᓇᖅᑐᖃᕐᒥᒻᒪ	ᓄ@ᕙᕐ@ᓇᖅ@ᑐ@ᖃᕐ@ᒥ@ᒻᒪ
ᐱᓕᕆᓪᓚᕆᑦᑐᑦ	ᐱ@ᓕᕆ@ᓪᓚᕆᑦ@ᑐᑦ
ᑕᐃᔭᐅᕙᓕᖅᑐᑦ	ᑕᐃ@ᔭ@ᐅ@ᕙ@ᓕᖅ@ᑐᑦ
ᐊᐱᕆᔭᐅᕙᒻᒪᑕ	ᐊᐱᕆ@ᔭ@ᐅ@ᕙᒻ@ᒪᑕ
ᑲᒪᒋᔭᖃᕈᑕᐅᖕᒪᑦ	ᑲᒪ@ᒋ@ᔭ@ᖃ@ᕈᑕ@ᐅ@ᖕᒪᑦ
ᐊᑦᑕᓇᕐᒪᑕ	ᐊᑦᑕ@ᓇᕐ@ᒪᑕ
ᑲᒪᒋᔭᐅᓂᖅ	ᑲᒪ@ᒋ@ᔭ@ᐅ@ᓂᖅ
ᕿᒥᕐᕈᓇᒍᓐᓇᖅᑎᑕᐅᖕᒪᑕ	ᕿᒥᕐᕈ@ᓇ@ᒍᓐᓇᖅ@ᑎ@ᑕ@ᐅ@ᖕᒪᑕ
ᕿᒥᕐᕈᓇᒻᒪᖔᑕ	ᕿᒥᕐᕈ@ᓇᒻ@ᒪᖔᑕ
ᑲᒪᒋᔭᒃᓴᐅᔪᒧᑦ	ᑲᒪ@ᒋ@ᔭ@ᒃᓴ@ᐅ@ᔪ@ᒧᑦ
ᑕᑯᒋᓪᓕ	ᑕᑯ@ᒋᓪ@ᓕ
ᓂᓕᐅᑎᒋᔭᐅᒃᑲᓐᓂᖁᔾᔮᖏᑕᕋ	ᓂᓕ@ᐅᑎ@ᒋ@ᔭ@ᐅ@ᒃᑲᓐᓂ@ᖁ@ᔾᔮ@ᖏ@ᑕ@ᕋ
ᐃᓪᓗᒃᓴᖃᕐᓂᕐᒧᑦ	ᐃᓪᓗ@ᒃᓴ@ᖃᕐ@ᓂᕐ@ᒧᑦ
ᑲᒪᒋᔭᐅᓂᖓᓗ	ᑲᒪ@ᒋ@ᔭ@ᐅ@ᓂ@ᖓ@ᓗ
ᖃᐅᔨᕙᓪᓕᐊᓂᕐᒧᑦ	ᖃᐅᔨ@ᕙᓪᓕᐊ@ᓂᕐ@ᒧᑦ
ᑐᓂᔭᐅᔪᓐᓇᖅᐱᑖ	ᑐᓂ@ᔭ@ᐅ@ᔪᓐᓇᖅ@ᐱᑖ
ᐅᔾᔨᕆᓚᐅᕐᒥᒐᒃᑯ	ᐅᔾᔨ@ᕆ@ᓚᐅᕐ@ᒥ@ᒐᒃᑯ
ᖁᕕᐊᓱᖃᑕᐅᓚᐅᕋᒪ	ᖁᕕᐊ@ᓱ@ᖃᑕᐅ@ᓚᐅ@ᕋᒪ
ᐆᒃᑐᕐᑕᐅᒻᒪᑦ	ᐆᒃ@ᑐᕐ@ᑕ@ᐅ@ᒻᒪᑦ
ᖃᖓᑐᐃᓐᓇᖔᖅ	ᖃᖓ@ᑐᐃᓐᓇ@ᖔᖅ
ᓴᑭᒋᔭᐅᔪᑎᒍᑦ	ᓴᑭ@ᒋ@ᔭ@ᐅ@ᔪ@ᑎᒍᑦ
ᕿᒥᕐᕈᓇᐅᒻᒪᑦ	ᕿᒥᕐᕈ@ᓇ@ᐅ@ᒻᒪᑦ
ᐊᖏᕈᓐᓇᖅᑐᓂᐅᒃ	ᐊᖏ@ᕈᓐᓇᖅ@ᑐᓂᐅᒃ
ᐊᐱᖅᓱᖃᑦᑕᐸᓪᓕᐊᓂᖅ	ᐊᐱᖅ@ᓱ@ᖃᑦᑕ@ᐸᓪᓕᐊ@ᓂᖅ
ᓴᖅᑭᑦᑎᒐᓱᐊᖅᑐᑦ	ᓴᖅᑭᑦ@ᑎ@ᒐᓱᐊᖅ@ᑐᑦ
ᖃᐅᖅᓯᖅ	ᖃᐅᖅ@ᓯᖅ
ᐃᓪᓗᖁᑎᒋᔭᒧᑦ	ᐃᓪᓗ@ᖁᑎ@ᒋ@ᔭ@ᒧᑦ
ᐅᐱᒍᓱᑦᑐᒻᒪᕆᐅᕗᒍᑦ	ᐅᐱ@ᒍᓱᑦ@ᑐ@ᒻᒪᕆ@ᐅ@ᕗᒍᑦ
ᐱᓕᕆᖃᑦᑕᕐᒪᑎ	ᐱ@ᓕᕆ@ᖃᑦᑕᕐ@ᒪᑎ
ᕿᒥᕐᕈᔭᐅᓂᐊ	ᕿᒥᕐᕈ@ᔭ@ᐅ@ᓂ@ᐊ
ᑎᓪᓕᒃᑐᖃᓚᐅᕐᒪᖔᖅ	ᑎᓪᓕᒃ@ᑐ@ᖃ@ᓚᐅᕐ@ᒪᖔᖅ
ᐱᕙᓪᓕᐊᑎᑦᓯᖁᔨᓚᐅᕐᒪᑦ	ᐱ@ᕙᓪᓕᐊ@ᑎᑦ@ᓯ@ᖁ@ᔨ@ᓚᐅᕐ@ᒪᑦ
ᑲᒪᒋᔭᐅᒻᒪᑕᐃᓛᒃ	ᑲᒪ@ᒋ@ᔭ@ᐅ@ᒻᒪᑕ@ᐃᓛᒃ
ᐅᑕᖅᑭᖃᑦᑕᑕᕐᒪᑕ	ᐅᑕᖅᑭ@ᖃᑦᑕ@ᑕᕐ@ᒪᑕ
ᐅᔾᔨᕈᓱᒃᐹᑦ	ᐅᔾᔨ@ᕈᓱᒃ@ᐹᑦ
ᕿᒥᕈᓯᒪᕙᑦ	ᕿᒥᕈ@ᓯ@ᒪ@ᕙᑦ
ᑲᔪᓯᒍᓐᓇᕐᓂᖓᓄᑦ	ᑲᔪᓯ@ᒍᓐᓇᕐ@ᓂ@ᖓᓄᑦ
ᐃᓄᒻᒪᕆᒃᑯᓐᓄᑦ	ᐃᓄ@ᒻᒪᕆ@ᒃᑯᓐ@ᓄᑦ
ᐊᑐᖅᑕᐅᕗᑦ	ᐊᑐᖅ@ᑕ@ᐅ@ᕗᑦ
ᑭᐅᓗᓂ	ᑭᐅ@ᓗᓂ
ᐱᓕᕆᖕᒥᔪᒍᑦ	ᐱ@ᓕᕆ@ᖕᒥ@ᔪᒍᑦ
ᐊᖏᑦᑕᐅᔪᓐᓇᕋᒪ	ᐊᖏᑦ@ᑕ@ᐅ@ᔪᓐᓇ@ᕋᒪ
ᓱᕋᔅᓴᐃᔪᒥᒃ	ᓱᕋᔅ@ᓴ@ᐃ@ᔪ@ᒥᒃ
ᕿᒥᕐᕈᒍᒪᕗᒍᑦ	ᕿᒥᕐᕈ@ᒍᒪ@ᕗᒍᑦ
ᐃᓄᑐᖃᐅᓂᕐᒧᑦ	ᐃᓄ@ᑐᖃ@ᐅ@ᓂᕐ@ᒧᑦ
ᐃᓕᖅᑯᓯᑦᑎᐊᕙᖓᓂᒃ	ᐃᓕᖅᑯᓯ@ᑦᑎᐊᕙ@ᖓᓂᒃ
ᑐᐊᕕᕐᓇᖅᑐᒧ	ᑐᐊᕕᕐ@ᓇᖅ@ᑐ@ᒧ
ᐱᖁᔭᑦᓴᐅᒻᒪᑦ	ᐱ@ᖁ@ᔭ@ᑦᓴ@ᐅ@ᒻᒪᑦ
ᑯᐸᐃᒻᒧᓪᓘᓐᓃᑦ	ᑯᐸᐃᒻ@ᒧᓪ@ᓘᓐᓃᑦ
ᐊᐱᕐᓱᕈᕕᐅᒃ	ᐊᐱᕐ@ᓱ@ᕈᕕᐅᒃ
ᐱᓇᓱᒡᓗᓂ	ᐱ@ᓇᓱᒡ@ᓗᓂ
ᐅᖃᐅᔾᔨᔪᒪᕙᒃᑲ	ᐅᖃ@ᐅᔾ@ᔨ@ᔪᒪ@ᕙ@ᒃᑲ
ᑐᕌᒐᖃᑦᑎᓪᓗᒋᑦ	ᑐᕌ@ᒐ@ᖃᑦ@ᑎᓪᓗᒋᑦ
ᐊᕐᓇᐅᓪᓗᓂᓗ	ᐊᕐᓇ@ᐅ@ᓪᓗᓂ@ᓗ
ᓂᕆᕕᑦᑕᖃᕐᒪᑦ	ᓂᕆ@ᕕᑦ@ᑕ@ᖃᕐ@ᒪᑦ
ᑲᒪᓂᐅᔪᑦ	ᑲᒪ@ᓂ@ᐅ@ᔪᑦ
ᐊᑦᑕᕐᕕᐅᔪᓂᑦ	ᐊᑦᑕᕐ@ᕕ@ᐅ@ᔪ@ᓂᑦ
ᐃᑲᔪᖅᑕᐃᕝᕕᒃᓴᖅ	ᐃᑲᔪᖅ@ᑕ@ᐃᕝ@ᕕ@ᒃᓴᖅ
ᐊᖏᖅᓯᔪᓐᓇᖅᑐᑦ	ᐊᖏᖅ@ᓯ@ᔪᓐᓇᖅ@ᑐᑦ
ᒑᓴᓖᓄᓪᓗ	ᒑᓴᓖ@ᓄᓪ@ᓗ
ᑲᑎᑦᑐᓐᓇᖅᑐᑦ	ᑲᑎᑦ@ᑐᓐᓇᖅ@ᑐᑦ
ᐃᒡᓗᖃᕈᒪᔪᑦ	ᐃᒡᓗ@ᖃ@ᕈᒪ@ᔪᑦ
ᓇᒻᒥᓂᓪᓚᕆᒃ	ᓇᒻᒥᓂ@ᓪᓚᕆᒃ
ᐋᖅᑭᓐᓇᓱᓐᓂᐊᕐᓂᖓᓂᒃ	ᐋᖅᑭᓐ@ᓇ@ᓱᓐᓂ@ᐊᕐ@ᓂ@ᖓᓂᒃ
ᖁᕕᐊᒋᔭᖃᕐᒪᖔᑕ	ᖁᕕᐊ@ᒋ@ᔭ@ᖃᕐ@ᒪᖔᑕ
ᕿᒥᕐᕈᐊᖅᑕᒥᓂᐅᓪᓗᓂ	ᕿᒥᕐᕈ@ᐊᖅ@ᑕ@ᒥᓂ@ᐅ@ᓪᓗᓂ
ᐅᖓᕙᒃ	ᐅᖓ@ᕙᒃ
ᓄᖅᑲᐅᔾᔭᐅᖕᒪᑦ	ᓄᖅᑲ@ᐅᔾᔭ@ᐅ@ᖕᒪᑦ
ᓈᒻᒪᓂᐊᖏᒻᒪᖔᑕ	ᓈᒻᒪ@ᓂ@ᐊ@ᖏᒻ@ᒪᖔᑕ
ᐱᕈᕐᐸᓪᓕᐊᒪᑦ	ᐱᕈᕐ@ᐸᓪᓕᐊ@ᒪᑦ
ᐃᑉᐱᒐᓱᑦᑐᑦ	ᐃᑉᐱ@ᒐᓱᑦ@ᑐᑦ
ᑐᑭᖃᕐᖓᑕ	ᑐᑭ@ᖃ@ᕐᖓ@ᑕ
ᑭᐅᓕᐅᒃ	ᑭᐅ@ᓕᐅᒃ
ᐅᖃᓪᓚᒍᓐᓇᖅᓯᔪᒪᔪᓂᒃ	ᐅᖃᓪᓚ@ᒍᓐᓇᖅ@ᓯ@ᔪᒪ@ᔪ@ᓂᒃ
ᖃᓄᑐᐃᓐᓇᒻᒪᕆᒃ	ᖃᓄ@ᑐᐃᓐᓇ@ᒻᒪᕆᒃ
ᖁᔭᓐᓇᒦᕈᒪᒻᒥᔭᒃᑲ	ᖁᔭᓐᓇᒦ@ᕈᒪ@ᒻᒥ@ᔭᒃᑲ
ᖃᐅᔨᓇᓱᒻᒪᑦ	ᖃᐅᔨ@ᓇᓱᒻ@ᒪᑦ
ᐃᒡᓗᖃᕆᐊᕐᓂᕐᒧᑦ	ᐃᒡᓗ@ᖃ@ᕆᐊᕐ@ᓂᕐ@ᒧᑦ
ᑐᑐᓗᒎᖅ	ᑐ@ᑐ@ᓗ@ᒎᖅ
ᐊᕝᕙᒧᓪᓗ	ᐊᕝᕙ@ᒧᓪ@ᓗ
ᑐᓴᖅᓴᐅᖏᒻᒪᑕᒎᖅ	ᑐᓴᖅ@ᓴ@ᐅ@ᖏᒻ@ᒪᑕ@ᒎᖅ
ᐊᑭᑦᑐᕆᐊᓕᒑᒻᒪᑦ	ᐊᑭ@ᑦᑐ@ᕆᐊ@ᓕᒑ@ᒻᒪᑦ
ᐱᖁᑎᒥᒍᓪᓘᓐᓃᑦ	ᐱ@ᖁᑎ@ᒥᒍᓪ@ᓘᓐᓃᑦ
ᑎᑭᓗᒍ	ᑎᑭ@ᓗ@ᒍ
ᐃᓪᓗᑭᔅᓴᓂᕐᒧᑦ	ᐃᓪᓗ@ᑭ@ᔅᓴ@ᓂᕐ@ᒧᑦ
ᐃᓯᖁᒻᒪᖔᑦᓯᐅᒃ	ᐃᓯ@ᖁ@ᒻᒪᖔᑦᓯᐅᒃ
ᐋᓐᓂᖅᑕᐅᒻᒥᒻᒪᑕᑦᑕᐅᖅ	ᐋᓐ@ᓂᖅ@ᑕ@ᐅ@ᒻᒥ@ᒻᒪᑕ@ᑦᑕᐅᖅ
ᐅᐸᓐᓂᐅᔪᒧᑦ	ᐅᐸᓐ@ᓂ@ᐅ@ᔪ@ᒧᑦ
ᐃᓪᓗᖃᑦᓯᐊᖏᓐᓂᖅ	ᐃᓪᓗ@ᖃ@ᑦᓯᐊ@ᖏᓐ@ᓂᖅ
ᐃᓕᖅᑯᓯᐊᓂᒃ	ᐃᓕᖅᑯᓯ@ᐊᓂᒃ
ᐃᓄᑐᖃᑎᓂᒃ	ᐃᓄ@ᑐ@ᖃᑎ@ᓂᒃ
ᐱᓕᕆᔨᒻᒪᕆᖓᑦ	ᐱ@ᓕᕆ@ᔨ@ᒻᒪᕆ@ᖓᑦ
ᐃᕿᐊᒋᙱᒻᒪᒍ	ᐃᕿᐊ@ᒋ@ᙱᒻ@ᒪᒍ
ᐱᓪᓗᐊᑕᐅᖕᒪᑕ	ᐱ@ᓪᓗᐊ@ᑕ@ᐅ@ᖕᒪᑕ
ᐊᐱᕆᓚᒍ	ᐊᐱᕆ@ᓚᒍ
ᑐᓵᒍᑎᒃ	ᑐᓵ@ᒍᑎᒃ
ᐊᑐᕈᓐᓇᖅᑎᑕᐅᖕᒪᑕ	ᐊᑐ@ᕈᓐᓇᖅ@ᑎ@ᑕ@ᐅ@ᖕᒪᑕ
ᐃᓄᖃᓚᐅᖅᑎᓪᓗᒍ	ᐃᓄ@ᖃ@ᓚᐅᖅ@ᑎᓪᓗᒍ
ᑲᒪᒐᔪᑦᑐᑦ	ᑲᒪ@ᒐᔪᑦ@ᑐᑦ
ᐱᒋᐊᕋᑖᓚᐅᕐᓂᖓᓄᑦ	ᐱ@ᒋᐊ@ᕋᑖ@ᓚᐅᕐ@ᓂ@ᖓᓄᑦ
ᑕᐅᑐᙳᐊᖅᑕᐅᔪᓄᑦ	ᑕᐅᑐ@ᙳᐊᖅ@ᑕ@ᐅ@ᔪ@ᓄᑦ
ᐱᓕᕆᕕᒋᔭᕐᓂᐅᕕᑦ	ᐱ@ᓕᕆ@ᕕ@ᒋ@ᔭᕐ@ᓂ@ᐅ@ᕕᑦ
ᐅᓂᒃᑳᒥᑦ	ᐅᓂᒃᑳ@ᒥᑦ
ᐃᓱᒪᖅᑲᐅᒻᒥᒐᒪ	ᐃᓱᒪ@ᖅᑲᐅ@ᒻᒥ@ᒐᒪ
ᐃᒻᒥᓂᒡᓕᒎᖅ	ᐃᒻᒥᓂᒡ@ᓕ@ᒎᖅ
ᐅᖃᓕᕆᓪᓗᓂ	ᐅᖃ@ᓕᕆ@ᓪᓗᓂ
ᐃᒪᓐᓇᐃᑐᓂᒃ	ᐃᒪᓐᓇ@ᐃ@ᑐ@ᓂᒃ
ᐃᓄᒃᑎᑑᓕᕆᔨᓄᑦ	ᐃᓄᒃ@ᑎ@ᑑ@ᓕᕆ@ᔨ@ᓄᑦ
ᐅᖃᐅᑎᔭᐅᔪᒫᖅᐳᖅ	ᐅᖃ@ᐅᑎ@ᔭ@ᐅ@ᔪᒫᖅ@ᐳᖅ
ᐊᖏᓂᖅᓴᑲᓐᓂᕐᒥᑦ	ᐊᖏ@ᓂᖅᓴ@ᑲᓐᓂᕐ@ᒥᑦ
ᐱᔪᓐᓇᑦᓯᐊᕐᒪᑕ	ᐱ@ᔪᓐᓇ@ᑦᓯᐊᕐ@ᒪᑕ
ᑲᓇᖕᓇᖅᐸᓯᖓᓂᒃ	ᑲᓇᖕᓇᖅ@ᐸ@ᓯ@ᖓᓂᒃ
ᐃᖏᒍᓐᓇᕈᕕᑦ	ᐃᖏ@ᒍᓐᓇ@ᕈᕕᑦ
ᓇᒧᓪᓚᕆᐅᒻᒪᖔᖅ	ᓇᒧ@ᓪᓚᕆ@ᐅ@ᒻᒪᖔᖅ
ᕿᑐᕐᖓᖃᕐᒥᒐᒪ	ᕿᑐᕐᖓ@ᖃᕐ@ᒥ@ᒐᒪ
ᓯᑎᓂᒃ	ᓯᑎ@ᓂᒃ
ᑲᒪᔪᓐᓇᕐᒪᖔᑕ	ᑲᒪ@ᔪᓐᓇᕐ@ᒪᖔᑕ
ᐃᓱᒪᒋᔪᓐᓇᖑᕐᒪᖔᖅᐱᐅᒃ	ᐃᓱᒪ@ᒋ@ᔪᓐᓇ@ᖑᕐ@ᒪᖔᖅᐱᐅᒃ
ᓴᓂᕋᔭᒻᒧᓪᓕ	ᓴᓂᕋᔭᒻ@ᒧᓪ@ᓕ
ᕿᓂᖅᐸᓪᓕᐊᒻᒪᑕ	ᕿᓂᖅ@ᐸᓪᓕᐊ@ᒻᒪᑕ
ᑭᓱᒧᓪᓕ	ᑭᓱ@ᒧᓪ@ᓕ
ᐱᔾᔪᑕᐅᒐᔪᒻᒪᑦ	ᐱ@ᔾᔪᑕ@ᐅ@ᒐᔪᒻ@ᒪᑦ
ᐊᔭᐅᕆᒻᒥᔪᑦ	ᐊᔭ@ᐅ@ᕆ@ᒻᒥ@ᔪᑦ
ᒐᕙᒪᓕᒫᖅ	ᒐᕙᒪ@ᓕᒫᖅ
ᐅᑕᖅᑭᔭᐅᓪᓗᓂᓗ	ᐅᑕᖅᑭ@ᔭ@ᐅ@ᓪᓗᓂ@ᓗ
ᐊᐱᖅᓱᖅᐱᑦ	ᐊᐱᖅ@ᓱᖅ@ᐱᑦ
ᐱᓕᕆᓂᖃᒻᒪᖔᖅ	ᐱ@ᓕᕆ@ᓂ@ᖃᒻᒪ@ᖔᖅ
ᐃᓱᒪᒋᔭᐅᔪᓐᓇᖏᒻᒪᑦ	ᐃᓱᒪ@ᒋ@ᔭ@ᐅ@ᔪᓐᓇᖏᒻ@ᒪᑦ
ᐱᓇᓱᒍᓐᓇᖅᐱᑕ	ᐱ@ᓇᓱ@ᒍᓐᓇᖅ@ᐱᑕ
ᐊᕿᔨᓄᑦ	ᐊᕿ@ᔨ@ᓄᑦ
ᓂᑯᕕᒍᑎᖃᓕᕐᒥᔪᖓ	ᓂᑯᕕ@ᒍᑎ@ᖃ@ᓕᕐ@ᒥ@ᔪᖓ
ᐱᒋᐊᖅᑳᕈᒪᔪᒍᑦ	ᐱ@ᒋᐊ@ᖅᑳ@ᕈᒪ@ᔪᒍᑦ
ᐊᖏᕋᑦᓯᐅᒃ	ᐊᖏ@ᕋᑦᓯᐅᒃ
ᐱᑐᖃᐅᓂᖅᓴᐅᔪᒥᒃ	ᐱ@ᑐᖃ@ᐅ@ᓂᖅᓴ@ᐅ@ᔪ@ᒥᒃ
ᓯᓚᑦᑐᓴᕐᕕᒃᑯᓐᓂᑦ	ᓯᓚ@ᑦᑐ@ᓴᕐ@ᕕ@ᒃᑯᓐ@ᓂᑦ
ᑭᐱᔅᓯᑉᐸᑕ	ᑭᐱ@ᔅ@ᓯ@ᑉᐸᑕ
ᑎᑭᐅᑎᓐᓂᕐᒪᖔᑦ	ᑎᑭ@ᐅ@ᑎᓐ@ᓂᕐ@ᒪᖔᑦ
ᒪᓂᖅᑲᒧᑦ	ᒪᓂᖅᑲ@ᒧᑦ
ᐃᒡᓗᕈᓯᐅᔪᓂᒃ	ᐃᒡᓗ@ᕈᓯ@ᐅ@ᔪ@ᓂᒃ
ᐊᖏᔪᖓᓂᒃ	ᐊᖏ@ᔪ@ᖓᓂᒃ
ᒪᒃᑯᒃᑐᖃᕐᒪᑕ	ᒪᒃᑯᒃ@ᑐ@ᖃᕐ@ᒪᑕ
ᐱᒋᐊᕐᕕᒋᓲᕆᒐᔅᓯᐅᒃ	ᐱ@ᒋᐊᕐ@ᕕ@ᒋ@ᓲ@ᕆ@ᒐᔅᓯᐅᒃ
ᑐᒡᓕᕆᓪᓗᓂᐅᒃ	ᑐᒡᓕ@ᕆ@ᓪᓗᓂᐅᒃ
ᐊᖏᖅᑕᐅᒻᒪᖔᑦ	ᐊᖏᖅ@ᑕ@ᐅ@ᒻᒪᖔᑦ
ᓇᖕᒥᓂᖅᑖᕋᓱᐊᕈᒪᔪᑦ	ᓇᖕᒥᓂᖅ@ᑖ@ᕋᓱᐊ@ᕈᒪ@ᔪᑦ
ᐳᐃᒍᐃᓐᓇᕋᒃᑯ	ᐳᐃᒍ@ᐃᓐᓇ@ᕋᒃᑯ
ᐊᑭᑦᑐᕆᐊᕈᑕᐅᕗᖅ	ᐊᑭ@ᑦᑐ@ᕆᐊ@ᕈᑕ@ᐅ@ᕗᖅ
ᑐᕌᖅᑎᑕᐅᕙᒻᒪᑕ	ᑐᕌᖅ@ᑎ@ᑕ@ᐅ@ᕙᒻ@ᒪᑕ
ᓱᓕᐅᖕᒪᑕ	ᓱᓕ@ᐅ@ᖕᒪᑕ
ᐃᑲᔪᖅᓱᐃᔪᓂᑦ	ᐃᑲᔪᖅ@ᓱ@ᐃ@ᔪ@ᓂᑦ
ᐃᖏᕐᕋᔾᔪᑕᐅᓂᕐᒧᑦ	ᐃᖏᕐᕋ@ᔾᔪᑕ@ᐅ@ᓂᕐ@ᒧᑦ
ᐃᒪᓐᓇᒎᖅ	ᐃᒪᓐᓇ@ᒎᖅ
ᓄᖅᑲᖅᐸᓪᓕᐊᓂᕐᒧᑦ	ᓄᖅᑲᖅ@ᐸᓪᓕᐊ@ᓂᕐ@ᒧᑦ
ᓴᓇᕕᐅᔪᑦ	ᓴᓇ@ᕕ@ᐅ@ᔪᑦ
ᓇᓗᓇᐃᖅᑕᐅᔪᓐᓇᖅᐳᑦ	ᓇᓗᓇ@ᐃᖅ@ᑕ@ᐅ@ᔪᓐᓇᖅ@ᐳᑦ
ᐱᕙᓪᓕᐊᑎᑦᓯᔨ	ᐱ@ᕙᓪᓕᐊ@ᑎᑦ@ᓯ@ᔨ
ᖃᐅᔨᖅᑰᕐᒪᑦ	ᖃᐅᔨ@ᖅᑰᕐ@ᒪᑦ
ᒪᒃᐱᒐᖓᓂᑦ	ᒪᒃᐱ@ᒐ@ᖓᓂᑦ
ᑲᔪᓯᓂᖃᕈᒪᓪᓗᓂ	ᑲᔪᓯ@ᓂ@ᖃ@ᕈᒪ@ᓪᓗᓂ
ᓯᓚᑦᑐᓴᕐᕕᒻᒧᓪᓗ	ᓯᓚ@ᑦᑐ@ᓴᕐ@ᕕᒻ@ᒧᓪ@ᓗ
ᐃᓱᒪᖃᐃᓐᓇᕈᒪᔪᒍᑦ	ᐃᓱᒪ@ᖃ@ᐃᓐᓇ@ᕈᒪ@ᔪᒍᑦ
ᑐᔪᕐᒥᔨᓄᑦ	ᑐᔪᕐᒥ@ᔨ@ᓄᑦ
ᑎᒍᐊᒐᖃᓚᐅᕐᒪᑕ	ᑎᒍ@ᐊ@ᒐ@ᖃ@ᓚᐅᕐ@ᒪᑕ
ᑲᔪᓯᖁᔭᕋ	ᑲᔪᓯ@ᖁ@ᔭ@ᕋ
ᓈᓴᐃᔨᓂᑦ	ᓈ@ᓴ@ᐃ@ᔨ@ᓂᑦ
ᐃᓚᒋᔭᐅᒻᒥᒻᒪᑦ	ᐃᓚ@ᒋ@ᔭ@ᐅ@ᒻᒥ@ᒻᒪᑦ
ᑕᓯᐊᓂᒃ	ᑕᓯ@ᐊᓂᒃ
ᑕᐃᒃᑯᓄᖓᓗ	ᑕᐃᒃᑯ@ᓄᖓ@ᓗ
ᐊᑭᑦᑐᕆᐊᕌᖓᓐ	ᐊᑭ@ᑦᑐ@ᕆᐊ@ᕌᖓᓐ
ᑎᒍᐊᒐᒃᓴᐅᔪᓂᒃ	ᑎᒍ@ᐊ@ᒐ@ᒃᓴ@ᐅ@ᔪ@ᓂᒃ
ᓂᐅᕐᕈᕙᒃᑐᑦ	ᓂᐅᕐᕈ@ᕙᒃ@ᑐᑦ
ᐱᒻᒪᕆᐊᓗᒻᒥᑦ	ᐱ@ᒻᒪᕆ@ᐊᓗᒻ@ᒥᑦ
ᐃᑲᔪᓚᐅᕐᒪᑎᒃ	ᐃᑲᔪ@ᓚᐅᕐ@ᒪᑎᒃ
ᐅᑕᖅᑭᕗᑦ	ᐅᑕᖅᑭ@ᕗᑦ
ᐃᓕᖅᑯᓯᕆᔭᐅᓇᕋᖅᑕᐅᔪᒥᒃ	ᐃᓕᖅᑯᓯ@ᕆ@ᔭ@ᐅ@ᓇ@ᕋᖅ@ᑕ@ᐅ@ᔪ@ᒥᒃ
ᓂᕆᐅᓐᓂᖃᕐᐱ	ᓂᕆᐅᓐ@ᓂ@ᖃᕐ@ᐱ
ᓄᓇᒥᐅᑕᓪᓚᕆᐅᒻᒪᑕ	ᓄᓇ@ᒥᐅᑕ@ᓪᓚᕆ@ᐅ@ᒻᒪᑕ
ᐱᓕᕆᖃᑎᒌᓐᓂᖃᖅᐳᒍᑦ	ᐱ@ᓕᕆ@ᖃᑎ@ᒌᓐ@ᓂ@ᖃᖅ@ᐳᒍᑦ
ᖃᓂᑦᑐᒥᑦ	ᖃᓂᑦ@ᑐ@ᒥᑦ
ᐃᑯᒪᒃᑯᓐᓂᑦ	ᐃᑯᒪ@ᒃᑯᓐ@ᓂᑦ
ᐊᖏᓂᖅᓴᕐᒥᑦ	ᐊᖏ@ᓂᖅᓴᕐ@ᒥᑦ
ᐃᓪᓗᖁᑎᒋᔭᐅᔪᓂᑦ	ᐃᓪᓗ@ᖁᑎ@ᒋ@ᔭ@ᐅ@ᔪ@ᓂᑦ
ᑐᐊᕕᕐᓇᒻᒪᕆᒻᒪᑦ	ᑐᐊᕕᕐ@ᓇ@ᒻᒪᕆᒻ@ᒪᑦ
ᖁᕕᐊᒋᑦᓯᐊᕐᒪᒍ	ᖁᕕᐊ@ᒋ@ᑦᓯᐊᕐ@ᒪᒍ
ᐱᓕᕆᕝᕕᖓᓕᒎᖅ	ᐱ@ᓕᕆ@ᕝᕕ@ᖓ@ᓕ@ᒎᖅ
ᑳᓐᑐᕌᒃᑕᒧᑦ	ᑳᓐᑐᕌᒃ@ᑕ@ᒧᑦ
