ᐊᖑᓇᓱᒃᑕᐅᔪᓐᓇᖅᑐᑦ	ᐊᖑ@ᓇᓱᒃ@ᑕ@ᐅ@ᔪᓐᓇᖅ@ᑐᑦ
ᐊᔪᕈᓐᓃᖅᓴᖅᑐᑦ	ᐊᔪ@ᕈᓐᓃᖅ@ᓴᖅ@ᑐᑦ
ᓇᓗᓇᐃᕋᑖᕐᒪᒍ	ᓇᓗᓇ@ᐃ@ᕋᑖᕐ@ᒪᒍ
ᑕᒪᑐᒪ	ᑕᒪᑐ@ᒪ
ᐃᖅᑲᓇᐃᔮᖃᓕᕐᓂᒃᓴᒧᑦ	ᐃᖅᑲᓇᐃᔮ@ᖃ@ᓕᕐ@ᓂ@ᒃᓴ@ᒧᑦ
ᐱᓕᕆᑦᑎᐊᕐᓂᖃᓚᐅᕐᒪᑕ	ᐱ@ᓕᕆ@ᑦᑎᐊᕐ@ᓂ@ᖃ@ᓚᐅᕐ@ᒪᑕ
ᖃᐃᖁᔨᓯᒪᔪᑦ	ᖃᐃ@ᖁ@ᔨ@ᓯ@ᒪ@ᔪᑦ
ᐊᑭᑦᑐᕋᐅᑎᑦᑎᓂᖓᑦ	ᐊᑭ@ᑦᑐ@ᕋ@ᐅᑎᑦ@ᑎ@ᓂ@ᖓᑦ
ᐅᖃᓪᓚᒍᒪᖅᑰᕐᒪᑦ	ᐅᖃᓪᓚ@ᒍᒪ@ᖅᑰᕐ@ᒪᑦ
ᐅᖃᑲᐃᓐᓇᕐᒪᑦ	ᐅᖃ@ᑲᐃᓐᓇᕐ@ᒪᑦ
ᓇᑭᑦ	ᓇᑭᑦ
ᑕᖅᑭᐅᒻᒪᑦ	ᑕᖅᑭ@ᐅ@ᒻᒪᑦ
ᐊᐱᕆᔪᒪᓐᓂᕈᕕᑦ	ᐊᐱᕆ@ᔪᒪ@ᓐᓂ@ᕈᕕᑦ
ᐱᓇᓱᐊᕈᓯᐅᓚᐅᖅᑐᒧᑦ	ᐱᓇᓱᐊᕈᓯ@ᐅ@ᓚᐅᖅ@ᑐ@ᒧᑦ
ᓯᓗ	ᓯᓗ
ᐊᑭᑦᑐᖅᐸᓪᓕᐊᓂᕐᒧᑦ	ᐊᑭ@ᑦᑐᖅ@ᐸᓪᓕᐊ@ᓂᕐ@ᒧᑦ
ᐃᓚᐅᔪᓂᑦ	ᐃᓚ@ᐅ@ᔪ@ᓂᑦ
ᐃᑲᔪᖅᓱᖃᑦᑕᕋᒪ	ᐃᑲᔪᖅ@ᓱ@ᖃᑦᑕ@ᕋᒪ
ᑕᒪᓐᓇᓕᑭᐊᖅ	ᑕᒪᓐᓇ@ᓕ@ᑭᐊᖅ
ᖃᐅᔨᓴᖃᑦᑕᖏᒻᒪᑕᓗ	ᖃᐅᔨ@ᓴ@ᖃᑦᑕ@ᖏᒻ@ᒪᑕ@ᓗ
ᐳᓛᕆᐊᖁᔨᓪᓗᓂ	ᐳᓛ@ᕆᐊ@ᖁ@ᔨ@ᓪᓗᓂ
ᐃᑲᔪᖅᓱᐃᓂᕆᓚᐅᖅᑕᖓᓄᑦ	ᐃᑲᔪᖅ@ᓱ@ᐃ@ᓂ@ᕆ@ᓚᐅᖅ@ᑕ@ᖓᓄᑦ
ᐊᓪᓚᒡᕕᐅᓪᓗᓂ	ᐊᓪᓚᒡ@ᕕ@ᐅ@ᓪᓗᓂ
ᐱᓕᕆᔪᒪᕗᒍᓐ	ᐱ@ᓕᕆ@ᔪᒪ@ᕗᒍᓐ
ᐱᕙᓪᓕᐊᒐᓛᓯᒪᓕᖅᑐᒍᑦ	ᐱ@ᕙᓪᓕᐊ@ᒐ@ᓛ@ᓯ@ᒪ@ᓕᖅ@ᑐᒍᑦ
ᑐᑭᖃᓪᓚᑦᑖᕐᒪᑦ	ᑐᑭ@ᖃᓪᓚᑦ@ᑖᕐ@ᒪᑦ
ᐃᖏᕐᕋᖁᑦᑎᐊᓇᕐᒪᑕ	ᐃᖏᕐᕋ@ᖁ@ᑦᑎᐊ@ᓇᕐ@ᒪᑕ
ᓴᖅᑭᑦᑎᕙᓪᓕᐊᓇᓱᒃᑭᕗᑦ	ᓴᖅᑭᑦ@ᑎ@ᕙᓪᓕᐊ@ᓇᓱᒃ@ᑭ@ᕗᑦ
ᐱᔪᓐᓇᖅᐸᖕᒪᑕ	ᐱ@ᔪᓐᓇᖅ@ᐸᖕ@ᒪᑕ
ᕿᓂᖅᐸᒃᑐᑦ	ᕿᓂᖅ@ᐸᒃ@ᑐᑦ
ᖃᒪᓂᖅᔪᐊᕐᒥᐅᖅ	ᖃᒪᓂᖅᔪᐊᕐ@ᒥᐅᖅ
ᖃᐅᔨᒪᖕᒪᑦ	ᖃᐅᔨᒪ@ᖕᒪᑦ
ᐱᓕᕆᕕᒻᒧᓪᓗ	ᐱ@ᓕᕆ@ᕕᒻ@ᒧᓪ@ᓗ
ᑕᑯᓚᐅᕆᕗᒍᑦ	ᑕᑯ@ᓚᐅ@ᕆ@ᕗᒍᑦ
ᐅᒥᐊᒃᑯᕕᐅᔪᒧᑦ	ᐅᒥᐊ@ᒃᑯ@ᕕ@ᐅ@ᔪ@ᒧᑦ
ᓯᕗᓪᓕᐅᑎᑕᐅᓂᖃᕐᒪᑦ	ᓯᕗ@ᓪᓕ@ᐅ@ᑎ@ᑕ@ᐅ@ᓂ@ᖃᕐ@ᒪᑦ
ᐅᑎᖅᑎᑕᐅᖔᙱᓪᓗᓂ	ᐅᑎᖅ@ᑎ@ᑕ@ᐅ@ᖔ@ᙱᓪ@ᓗᓂ
ᑐᕌᖓᑎᑕᐅᓪᓗᓂ	ᑐᕌ@ᖓ@ᑎ@ᑕ@ᐅ@ᓪᓗᓂ
ᐊᐱᕆᔪᒪᒻᒪᑕ	ᐊᐱᕆ@ᔪᒪ@ᒻᒪᑕ
ᑲᒪᕕᖃᖃᑦᑕᕐᑎᓪᓗᒍ	ᑲᒪ@ᕕ@ᖃ@ᖃᑦᑕᕐ@ᑎᓪᓗᒍ
ᑲᒪᒋᔭᒃᓴᕆᔭᐅᒻᒪᑦ	ᑲᒪ@ᒋ@ᔭ@ᒃᓴ@ᕆ@ᔭ@ᐅ@ᒻᒪᑦ
ᐊᐅᓪᓚᐅᔾᔨᔨᓂᒃ	ᐊᐅ@ᓪᓚ@ᐅᔾ@ᔨ@ᔨ@ᓂᒃ
ᐊᐱᕆᖔᕈᒃ	ᐊᐱᕆ@ᖔ@ᕈᒃ
ᕿᒪᒃᑕᐅᔪᓂᒃ	ᕿᒪᒃ@ᑕ@ᐅ@ᔪ@ᓂᒃ
ᐊᐅᓚᑦᑎᔨᒻᒪᕆᒃ	ᐊᐅᓚᑦ@ᑎ@ᔨ@ᒻᒪᕆᒃ
ᐋᖅᑭᓂᖃᕐᒪᑕ	ᐋᖅᑭ@ᓂ@ᖃᕐ@ᒪᑕ
ᓴᖅᑭᑦᑐᖃᓛᕐᓂᖓᓂᑦ	ᓴᖅᑭᑦ@ᑐ@ᖃ@ᓛᕐ@ᓂ@ᖓᓂᑦ
ᖃᑯᖅᑕ	ᖃᑯᖅ@ᑕ
ᓴᕆᒪᓱᓚᐅᕐᒪᑕ	ᓴᕆᒪ@ᓱ@ᓚᐅᕐ@ᒪᑕ
ᒐᕙᒪᐅᔪᒃᑯᓐᓂᑦ	ᒐᕙᒪ@ᐅ@ᔪ@ᒃᑯᓐ@ᓂᑦ
ᒐᕙᒪᐅᒐᓱᓐᓂᕐᒧᑦ	ᒐᕙᒪ@ᐅ@ᒐᓱᓐ@ᓂᕐ@ᒧᑦ
ᐱᐊᓂᑉᐱᑖ	ᐱ@ᐊᓂᑉ@ᐱᑖ
ᐊᓐᓂᕆᔭᐅᔪᓂᑦ	ᐊᓐᓂ@ᕆ@ᔭ@ᐅ@ᔪ@ᓂᑦ
ᐱᕙᓪᓕᐊᓪᓗᓂᓗ	ᐱ@ᕙᓪᓕᐊ@ᓪᓗᓂ@ᓗ
ᓇᓪᓕᒋᔭᐅᖔᖅᑐᑦ	ᓇᓪᓕ@ᒋ@ᔭ@ᐅ@ᖔᖅ@ᑐᑦ
ᓇᓗᓂ	ᓇᓗ@ᓂ
ᐃᑲᔪᖅᓱᕈᑕᐅᔪᑦ	ᐃᑲᔪᖅ@ᓱ@ᕈᑕ@ᐅ@ᔪᑦ
ᖃᐅᔨᓴᕐᕕᐅᔪᒧᑦ	ᖃᐅᔨ@ᓴᕐ@ᕕ@ᐅ@ᔪ@ᒧᑦ
ᐅᖃᖃᖅᑲᐅᒻᒪ	ᐅᖃ@ᖃ@ᖅᑲᐅ@ᒻᒪ
ᐃᑲᔪᖅᑐᕈᑦᓯᐅᒃ	ᐃᑲᔪᖅ@ᑐ@ᕈᑦᓯᐅᒃ
ᐊᑭᖃᖅᑎᒋᕙᑦ	ᐊᑭ@ᖃᖅ@ᑎᒋ@ᕙᑦ
ᒪᒃᑯᒃᑐᒃᑯᕕᖕᒧᓪᓘᓐᓃᑦ	ᒪᒃᑯᒃ@ᑐ@ᒃᑯ@ᕕᖕ@ᒧᓪ@ᓘᓐᓃᑦ
ᖃᐅᔨᒪᔨᑕᖃᐅᕐᒪᖔᑦ	ᖃᐅᔨᒪ@ᔨ@ᑕᖃ@ᐅᕐ@ᒪᖔᑦ
ᐊᖁᑎᖃᕐᓗᑕ	ᐊᖁᑎ@ᖃᕐ@ᓗᑕ
ᑭᐅᔪᓐᓇᕋᑖᕋᕕᐅᒃ	ᑭᐅ@ᔪᓐᓇ@ᕋᑖ@ᕋᕕᐅᒃ
ᐱᓕᕆᔨᑖᕋᓱᐊᖅᑐᒍᑦ	ᐱ@ᓕᕆ@ᔨ@ᑖ@ᕋᓱᐊᖅ@ᑐᒍᑦ
ᑎᑭᑉᐸᓪᓕᐊᔪᓄᑦ	ᑎᑭᑉ@ᐸᓪᓕᐊ@ᔪ@ᓄᑦ
ᐃᓚᒋᔭᐅᕗᖅ	ᐃᓚ@ᒋ@ᔭ@ᐅ@ᕗᖅ
ᐊᔪᕐᒪᖔᑕ	ᐊᔪᕐ@ᒪᖔᑕ
ᒪᑐᐃᕌᖓᑦ	ᒪᑐ@ᐃ@ᕌᖓᑦ
ᓈᒻᒪᓯᒃᐸᑦ	ᓈᒻᒪ@ᓯ@ᒃᐸᑦ
ᑲᒪᓂᕋᕐᓗᓂ	ᑲᒪ@ᓂᕋᕐ@ᓗᓂ
ᓄᔭᓕᕆᔪᓂᑦ	ᓄᔭ@ᓕᕆ@ᔪ@ᓂᑦ
ᐃᓕᖅᑯᓯᖃᑦᑎᓪᓗᒋᑦ	ᐃᓕᖅᑯᓯ@ᖃᑦ@ᑎᓪᓗᒋᑦ
ᐊᐅᓚᕙᓪᓕᐊᓂᖓᓂᑦ	ᐊᐅᓚ@ᕙᓪᓕᐊ@ᓂ@ᖓᓂᑦ
ᑖᒻᓇᒃᑕᐅᖅ	ᑖᒻᓇ@ᒃᑕᐅᖅ
ᖃᐅᔨᒪᔭᖃᒻᒪᖔᖅ	ᖃᐅᔨᒪ@ᔭ@ᖃᒻᒪ@ᖔᖅ
ᐊᕐᕌᒍᖃᕐᓗᑎᑦ	ᐊᕐᕌᒍ@ᖃᕐ@ᓗᑎᑦ
ᑳᖕᒥᑦ	ᑳᖕ@ᒥᑦ
ᕿᒪᓕᕋᒃᑯ	ᕿᒪ@ᓕ@ᕋᒃᑯ
ᐱᒻᒪᕆᐅᓂᖃᖅᑐᒧᑦ	ᐱ@ᒻᒪᕆ@ᐅ@ᓂ@ᖃᖅ@ᑐ@ᒧᑦ
ᓈᓚᖕᓂᖓᑦ	ᓈᓚᖕ@ᓂ@ᖓᑦ
ᐱᔪᓐᓇᖅᓯᑐᐊᕌᖓᑦᑕ	ᐱ@ᔪᓐᓇᖅ@ᓯ@ᑐ@ᐊ@ᕌᖓᑦᑕ
ᐅᐊᓯᑦᑐᒧ	ᐅᐊ@ᓯᑦ@ᑐ@ᒧ
ᑐᕌᖓᓪᓚᕆᒻᒪᖔᖅ	ᑐᕌ@ᖓ@ᓪᓚᕆᒻ@ᒪᖔᖅ
ᓄᓇᕗᓕᖃᐃ	ᓄᓇᕗ@ᓕ@ᖃᐃ
ᕿᑲᖅᑐᖁᑎᖃᓕᕐᒥᔪᒍᑦ	ᕿᑲ@ᖅ@ᑐ@ᖁᑎ@ᖃ@ᓕᕐ@ᒥ@ᔪᒍᑦ
ᐊᕙᓗᒻᒥᐅᑕᒃᓴᖅ	ᐊᕙᓗ@ᒻᒥ@ᐅᑕ@ᒃᓴᖅ
ᑐᕌᓗᐊᕐᓂᖅᓴᖅ	ᑐᕌ@ᓗᐊᕐ@ᓂᖅᓴᖅ
ᓂᓚᑦᑕᓂᕐᒧᑦ	ᓂᓚᑦ@ᑕ@ᓂᕐ@ᒧᑦ
ᑲᒪᒋᔭᐅᕙᑉᐳᖅ	ᑲᒪ@ᒋ@ᔭ@ᐅ@ᕙᑉ@ᐳᖅ
ᐊᑐᖅᑕᐅᔪᒫᕐᒪᑦ	ᐊᑐᖅ@ᑕ@ᐅ@ᔪᒫᕐ@ᒪᑦ
ᑐᓴᕐᓂᕈᕕᐅᒃ	ᑐᓴᕐ@ᓂ@ᕈᕕᐅᒃ
ᑕᐃᒪᐃᒍᓐᓇᖅᑕᐸᕈᓗᒐ	ᑕᐃᒪᐃ@ᒍᓐᓇᖅ@ᑕ@ᐸ@ᕈᓗ@ᒐ
ᐃᖅᑲᑐᐃᔨᒃᑯᓐᓄᑦ	ᐃᖅᑲ@ᑐ@ᐃ@ᔨ@ᒃᑯᓐ@ᓄᑦ
ᖃᐅᔪᓂᒃ	ᖃᐅ@ᔪ@ᓂᒃ
ᕿᓂᕋᓱᑦᑐᑦ	ᕿᓂ@ᕋᓱᑦ@ᑐᑦ
ᖃᓂᕐᒪ	ᖃᓂᕐ@ᒪ
ᑲᒪᒋᔭᐅᓂᖓᓂᑦ	ᑲᒪ@ᒋ@ᔭ@ᐅ@ᓂ@ᖓᓂᑦ
ᐃᒥᖕᓂᖅᓱᕈᓐᓇᕐᓂᕐᒧᑦ	ᐃᒥᖕ@ᓂᖅ@ᓱ@ᕈᓐᓇᕐ@ᓂᕐ@ᒧᑦ
ᑐᑭᖃᕐᒥᔪᑦ	ᑐᑭ@ᖃᕐ@ᒥ@ᔪᑦ
ᑕᑯᐊᓗ	ᑕᑯ@ᐊ@ᓗ
ᑲᔪᓯᕙᓪᓕᐊᑦᑎᐊᕐᒪᖔᑦ	ᑲᔪᓯ@ᕙᓪᓕᐊ@ᑦᑎᐊᕐ@ᒪᖔᑦ
ᐱᑎᑕᐅᖕᒪᖔᑦᑕ	ᐱ@ᑎ@ᑕ@ᐅ@ᖕᒪᖔᑦᑕ
ᑐᕌᖓᙱᒻᒪᑦ	ᑐᕌ@ᖓ@ᙱᒻ@ᒪᑦ
ᖃᐃᓗᑎᑦ	ᖃᐃ@ᓗᑎᑦ
ᐃᓱᒪᒋᓚᐅᕐᐱᐅ	ᐃᓱᒪ@ᒋ@ᓚᐅᕐ@ᐱᐅ
ᐊᖓᔪᖅᑳᕐᓗ	ᐊᖓᔪᖅᑳᕐ@ᓗ
ᐊᐅᓚᑦᑎᔪᒥᒃ	ᐊᐅᓚᑦ@ᑎ@ᔪ@ᒥᒃ
ᐊᖏᔪᓄᓪᓗ	ᐊᖏ@ᔪ@ᓄᓪ@ᓗ
ᖃᐅᔨᒪᒐᓱᒃᐸᒻᒪᖔᑕ	ᖃᐅᔨᒪ@ᒐᓱᒃ@ᐸᒻ@ᒪᖔᑕ
ᑎᑎᕋᐅᔭᖅᑕᐅᔪᓄᑦ	ᑎᑎ@ᕋ@ᐅ@ᔭᖅ@ᑕ@ᐅ@ᔪ@ᓄᑦ
ᐅᓄᓗᐊᖃᑦᑕᖏᒻᒪᑕ	ᐅᓄ@ᓗᐊ@ᖃᑦᑕ@ᖏᒻ@ᒪᑕ
ᖃᐅᔨᒪᒋᐊᖅᐸᑉᐳᑦ	ᖃᐅᔨᒪ@ᒋᐊᖅ@ᐸᑉ@ᐳᑦ
ᐅᐸᒍᓐᓇᕐᕕᐅᔪᓂᑦ	ᐅᐸ@ᒍᓐᓇᕐ@ᕕ@ᐅ@ᔪ@ᓂᑦ
ᐃᔨᑦᓯᐊᕐᒧᑦ	ᐃᔨ@ᑦᓯᐊᕐ@ᒧᑦ
ᑎᑎᖅᑐᒐᐅᔪᑦ	ᑎᑎᖅ@ᑐ@ᒐ@ᐅ@ᔪᑦ
ᓴᓇᔭᐅᒻᒪᑕ	ᓴᓇ@ᔭ@ᐅ@ᒻᒪᑕ
ᐊᐱᖅᓱᖃᑦᑕᕐᒪᑦ	ᐊᐱᖅ@ᓱ@ᖃᑦᑕᕐ@ᒪᑦ
ᐊᐅᓪᓚᖅᑎᑕᐅᔪᕕᓂᐅᖕᒥᔪᑦ	ᐊᐅ@ᓪᓚᖅ@ᑎ@ᑕ@ᐅ@ᔪ@ᕕᓂ@ᐅ@ᖕᒥ@ᔪᑦ
ᒪᑯᓄᖓᑦᑕᐅᖅ	ᒪᑯ@ᓄᖓ@ᑦᑕᐅᖅ
ᓈᓴᐃᓗᓂ	ᓈ@ᓴ@ᐃ@ᓗᓂ
ᕘᓕᓐ	ᕘᓕᓐ
ᑐᓴᖅᑎᑕᐅᖕᒪᑕ	ᑐᓴᖅ@ᑎ@ᑕ@ᐅ@ᖕᒪᑕ
ᐊᖏᓂᖅᓴᖅ	ᐊᖏ@ᓂᖅᓴᖅ
ᐱᔪᓐᓇᓂᖃᓚᐅᕐᒪᑕ	ᐱ@ᔪᓐᓇ@ᓂ@ᖃ@ᓚᐅᕐ@ᒪᑕ
ᐊᐱᕆᒍᕕᑦ	ᐊᐱᕆ@ᒍᕕᑦ
ᒪᒃᐱᖅᑐᕋᖓᓂ	ᒪᒃᐱᖅ@ᑐ@ᕋ@ᖓ@ᓂ
ᑕᒪᓂᓕ	ᑕᒪ@ᓂ@ᓕ
ᐱᒋᐊᕐᕕᔅᓴᖃᕐᖓᑕ	ᐱ@ᒋᐊᕐ@ᕕ@ᔅᓴ@ᖃ@ᕐᖓ@ᑕ
ᓂᕕᐊᖅᓴᐅᑦ	ᓂᕕ@ᐊᖅ@ᓴ@ᐅᑦ
ᖃᐃᑲᐃᓐᓇᖁᕙᒋᑦ	ᖃᐃ@ᑲᐃᓐᓇ@ᖁ@ᕙ@ᒋᑦ
ᑕᐃᒪᐃᑉᐸᓪᓕᐊᓇᓱᑦᑐᑦ	ᑕᐃᒪᐃᑉ@ᐸᓪᓕᐊ@ᓇᓱᑦ@ᑐᑦ
ᐃᒋᐅᖅᑲᕐᑕᐅᔪᓄᑦ	ᐃᒋ@ᐅ@ᖅᑲᕐ@ᑕ@ᐅ@ᔪ@ᓄᑦ
ᑎᑭᕋᕐᔪᐊᕐᒥᐅᖅ	ᑎᑭᕋᕐᔪᐊᕐ@ᒥᐅᖅ
ᒪᓕᓐᓂᕐᒧᑦ	ᒪᓕᓐ@ᓂᕐ@ᒧᑦ
ᑲᒪᕙᖕᒪᑕ	ᑲᒪ@ᕙᖕ@ᒪᑕ
ᔭᓗᓇᐃᒧᒡᒎᖅ	ᔭᓗᓇᐃ@ᒧᒡ@ᒎᖅ
ᐃᓕᓐᓂᐊᖅᑎᑎᓂᕐᒧᑦ	ᐃᓕᓐᓂᐊᖅᑎ@ᑎ@ᓂᕐ@ᒧᑦ
ᓴᖅᑭᑕᐅᒻᒪᑦ	ᓴᖅᑭ@ᑕ@ᐅ@ᒻᒪᑦ
ᓄᓇᕗᒻᒧᑦ	ᓄᓇᕗᒻ@ᒧᑦ
ᓂᓪᓕᕐᕕᒃᓴᖃᕈᓐᓇᖅᓱᑎᑦ	ᓂᓪᓕᕐ@ᕕ@ᒃᓴ@ᖃ@ᕈᓐᓇᖅ@ᓱᑎᑦ
ᐅᕙᓐᓄᐅᑦ	ᐅᕙ@ᓐᓄ@ᐅᑦ
ᐊᐱᖅᓱᕈᒪᒍᑎᒃ	ᐊᐱᖅ@ᓱ@ᕈᒪ@ᒍᑎᒃ
ᒪᐃᔭᖏᑦᑕ	ᒪᐃ@ᔭ@ᖏᑦ@ᑕ
ᐊᖏᓂᖅᓴᐅᖃᑕᐅᖕᒪᑦ	ᐊᖏ@ᓂᖅᓴ@ᐅ@ᖃᑕᐅ@ᖕᒪᑦ
ᑐᐊᕕᕐᓇᖅᑰᕐᒪᑦ	ᑐᐊᕕᕐ@ᓇ@ᖅᑰᕐ@ᒪᑦ
ᐃᓄᑐᖃᓕᕆᔨᒃᑯᓐᓄᑦ	ᐃᓄ@ᑐᖃ@ᓕᕆ@ᔨ@ᒃᑯᓐ@ᓄᑦ
ᐱᓕᕆᒍᑦᑕᑭᐊᖅ	ᐱ@ᓕᕆ@ᒍᑦᑕ@ᑭᐊᖅ
ᐅᔾᔨᖅᓱᕐᖓᑕ	ᐅᔾᔨᖅ@ᓱ@ᕐᖓ@ᑕ
ᑰᖃᕐᕕᖃᙱᒻᒪᑕ	ᑰ@ᖃᕐᕕ@ᖃ@ᙱᒻ@ᒪᑕ
ᓴᓇᔪᖃᓛᕐᓗᓂ	ᓴᓇ@ᔪ@ᖃ@ᓛᕐ@ᓗᓂ
ᓇᒻᒥᓂᖃᕐᒪᖔᑕ	ᓇᒻᒥᓂ@ᖃᕐ@ᒪᖔᑕ
ᐋᖅᑭᒃᓱᐃᔨᐅᖕᒪᑦ	ᐋᖅᑭᒃ@ᓱ@ᐃ@ᔨ@ᐅ@ᖕᒪᑦ
ᐃᓱᒪᖕᒪᖔᖅ	ᐃᓱᒪ@ᖕᒪᖔᖅ
ᐅᔾᔨᖅᓱᖅᑎᓪᓗᒋᑦ	ᐅᔾᔨᖅ@ᓱᖅ@ᑎᓪᓗᒋᑦ
ᒪᓕᒃᓴᖅᑎᑕᐅᓪᓗᓂ	ᒪᓕᒃ@ᓴᖅ@ᑎ@ᑕ@ᐅ@ᓪᓗᓂ
ᑕᕐᕆᔭᖅᑐᑦ	ᑕᕐᕆᔭᖅ@ᑐᑦ
ᐊᑦᑕᕐᓇᓪᓚᕆᖕᒪᑦ	ᐊᑦᑕᕐ@ᓇ@ᓪᓚᕆᖕ@ᒪᑦ
ᐃᓚᖃᓚᐅᖅᑐᒍᑦ	ᐃᓚ@ᖃ@ᓚᐅᖅ@ᑐᒍᑦ
ᐱᖏᒍᓱᒍᑎᖃᓚᐅᕐᒪᑕ	ᐱᖏ@ᒍᓱ@ᒍᑎ@ᖃ@ᓚᐅᕐ@ᒪᑕ
ᒪᐃᔫᓚᐅᕋᒪ	ᒪᐃ@ᔫ@ᓚᐅ@ᕋᒪ
ᐃᑲᔪᖅᐹᓪᓕᐅᑎᔪᓐᓇᕐᒪᑦ	ᐃᑲᔪᖅ@ᐹᓪᓕ@ᐅᑎ@ᔪᓐᓇᕐ@ᒪᑦ
ᑕᑯᒍᓐᓇᕐᒪᖔᑦ	ᑕᑯ@ᒍᓐᓇᕐ@ᒪᖔᑦ
ᓂᐅᕕᖅᑕᐅᔪᓂᑦ	ᓂᐅᕕᖅ@ᑕ@ᐅ@ᔪ@ᓂᑦ
ᖃᐃᖁᔨᓂᐊᕐᓗᓂ	ᖃᐃ@ᖁ@ᔨ@ᓂᐊᕐ@ᓗᓂ
ᐅᖃᓪᓚᒍᒪᓪᓗᓂ	ᐅᖃᓪᓚ@ᒍᒪ@ᓪᓗᓂ
ᐊᑭᑦᑐᕆᐊᖅᐸᓪᓕᐊᖕᒪᑕᑦᑕᐅᖅ	ᐊᑭ@ᑦᑐ@ᕆᐊᖅ@ᐸᓪᓕᐊ@ᖕᒪᑕ@ᑦᑕᐅᖅ
ᐅᓄᑦᑐᑦ	ᐅᓄᑦ@ᑐᑦ
ᐃᓂᖅᑎᕆᓚᐅᖅᑐᑦ	ᐃᓂᖅ@ᑎ@ᕆ@ᓚᐅᖅ@ᑐᑦ
ᑐᖁ	ᑐᖁ
ᐃᒪᓐᓇᐃᓕᐅᖁᔨᓪᓗᑎᑦ	ᐃᒪᓐᓇ@ᐃᓕ@ᐅ@ᖁ@ᔨ@ᓪᓗᑎᑦ
ᓄᓇᑖᕋᓱᓐᓂᖅ	ᓄᓇ@ᑖ@ᕋᓱᓐ@ᓂᖅ
ᐱᓕᕆᕝᕕᐅᓪᓗᑕ	ᐱ@ᓕᕆ@ᕝᕕ@ᐅ@ᓪᓗᑕ
ᑲᔪᓯᖁᔨᑦᑎᐊᑕᒃᑲ	ᑲᔪᓯ@ᖁ@ᔨ@ᑦᑎᐊ@ᑕ@ᒃᑲ
ᐊᖏᓂᖅᓴᑲᓐᓂᕐᒥᑦ	ᐊᖏ@ᓂᖅᓴ@ᑲᓐᓂᕐ@ᒥᑦ
ᐋᖅᑭᑦᑎᕆᖁᔨᓪᓗᑎᑦ	ᐋᖅᑭᑦ@ᑎ@ᕆ@ᖁ@ᔨ@ᓪᓗᑎᑦ
ᐊᐅᓚᑦᑎᔪᓐᓇᕐᒪᖔᑦᑕ	ᐊᐅᓚᑦ@ᑎ@ᔪᓐᓇᕐ@ᒪᖔᑦᑕ
ᓯᕕᖓᓂᖓᓂᒃ	ᓯᕕᖓ@ᓂ@ᖓᓂᒃ
ᐅᐸᒐᒃᓴᐅᖕᒪᑦ	ᐅᐸ@ᒐ@ᒃᓴ@ᐅ@ᖕᒪᑦ
ᕿᒥᕐᕈᕙᓪᓕᐊᓕᖅᑐᒍᑦ	ᕿᒥᕐᕈ@ᕙᓪᓕᐊ@ᓕᖅ@ᑐᒍᑦ
ᐃᖅᑲᖅᑐᐃᔨᕋᓛᖃᕐᓗᑕ	ᐃᖅᑲᖅ@ᑐ@ᐃ@ᔨ@ᕋᓛ@ᖃᕐ@ᓗᑕ
ᓄᖅᑲᖅᐸᓪᓕᐊᔪᒪᓕᖅᑐᒍᑦ	ᓄᖅᑲᖅ@ᐸᓪᓕᐊ@ᔪᒪ@ᓕᖅ@ᑐᒍᑦ
ᐋᖅᑭᔅᓱᐃᕙᒻᒪᑕ	ᐋᖅᑭᔅ@ᓱ@ᐃ@ᕙᒻ@ᒪᑕ
ᐊᓱᐃᓛᖕᒥᒃ	ᐊᓱᐃᓛᖕ@ᒥᒃ
ᐃᓚᖃᖅᑐᑦ	ᐃᓚ@ᖃᖅ@ᑐᑦ
ᑲᒪᔨᒧ	ᑲᒪ@ᔨ@ᒧ
ᖃᐅᔨᒪᓂᖅᓴᐅᓇᓱᒋᒍᑦᑕ	ᖃᐅᔨᒪ@ᓂᖅᓴ@ᐅ@ᓇᓱᒋ@ᒍᑦᑕ
ᐃᓪᓗᖓᓄᑦ	ᐃᓪᓗ@ᖓᓄᑦ
ᐅᖃᒪᖃᑦᑕᕐᒪᑕ	ᐅᖃ@ᒪ@ᖃᑦᑕᕐ@ᒪᑕ
ᑕᑯᖃᑦᑕᕈᒪᕗᑦ	ᑕᑯ@ᖃᑦᑕ@ᕈᒪ@ᕗᑦ
ᐊᖅᑲᓗᒃ	ᐊᖅᑲ@ᓗᒃ
ᐊᑐᕈᓐᓇᐃᓕᓪᓗᓂᐅᓪᓗ	ᐊᑐ@ᕈᓐᓇ@ᐃ@ᓕ@ᓪᓗᓂᐅᓪ@ᓗ
ᐃᓱᒪᒋᔭᐅᕙᒻᒪᖔᑕ	ᐃᓱᒪ@ᒋ@ᔭ@ᐅ@ᕙᒻ@ᒪᖔᑕ
ᐸᐸᑦᑎᔨᒃᑯᓐᓂᒃ	ᐸᐸᑦ@ᑎ@ᔨ@ᒃᑯᓐ@ᓂᒃ
ᑕᑯᔾᔪᑎᔪᓐᓇᕐᒥᒐᑦᑕ	ᑕᑯ@ᔾᔪᑎ@ᔪᓐᓇᕐ@ᒥ@ᒐᑦᑕ
