ᖃᖑᖅᐸᓪᓕᐊᓂᖓᓄᑦ	ᖃᖑᖅ@ᐸᓪᓕᐊ@ᓂ@ᖓᓄᑦ
ᑭᐅᔾᔪᑎᓴᒥ	ᑭᐅ@ᔾᔪᑎ@ᓴ@ᒥ
ᐱᕙᑉᐱᓯᐅᒃ	ᐱ@ᕙᑉ@ᐱᓯᐅᒃ
ᐊᑭᖃᓕᖅᑎᓪᓗᒋᑦ	ᐊᑭ@ᖃ@ᓕᖅ@ᑎᓪᓗᒋᑦ
ᒐᕙᒪᖃᓕᕋᓗᐊᖃᑦᑕ	ᒐᕙᒪ@ᖃ@ᓕ@ᕋᓗᐊ@ᖃᑦ@ᑕ
ᐃᑲᔪᕈᒥᓇᕐᖓᑕ	ᐃᑲᔪ@ᕈᒥᓇ@ᕐᖓ@ᑕ
ᖁᐊᓇᖅᐳᑎᓐ	ᖁ@ᐊ@ᓇᖅ@ᐳᑎᓐ
ᐃᒡᓗᑭᔅᓴᕐᒥᒐᑦᑕ	ᐃᒡᓗ@ᑭ@ᔅᓴᕐ@ᒥ@ᒐᑦᑕ
ᐱᓚᒃᑐᐃᔨᓄᑦ	ᐱᓚᒃ@ᑐ@ᐃ@ᔨ@ᓄᑦ
ᐊᖁᑎᒧ	ᐊᖁᑎ@ᒧ
ᐊᖏᕈᑕᐅᔪᓐᓇᖅᐳᖅ	ᐊᖏ@ᕈᑕ@ᐅ@ᔪᓐᓇᖅ@ᐳᖅ
ᐅᕙᒃᑎᓐᓄᓪᓘᓐᓃᑦ	ᐅᕙ@ᒃᑎᓐᓄᓪ@ᓘᓐᓃᑦ
ᓴᖅᑭᑎᕆᓂᕐᒧᑦ	ᓴᖅᑭ@ᑎ@ᕆ@ᓂᕐ@ᒧᑦ
ᐃᑲᔪᕈᓐᓇᖅᐱᑕ	ᐃᑲᔪ@ᕈᓐᓇᖅ@ᐱᑕ
ᑕᑯᒋᐊᕈᓐᓇᐸᐅᒃ	ᑕᑯ@ᒋᐊ@ᕈᓐᓇ@ᐸᐅᒃ
ᐅᑕᖅᑭᖃᑦᑕᑕᕐᒪᑕ	ᐅᑕᖅᑭ@ᖃᑦᑕ@ᑕᕐ@ᒪᑕ
ᓵᖓᓪᓗᐊᖑᐊᖅᑐᑦ	ᓵ@ᖓ@ᓪᓗᐊ@ᖑᐊᖅ@ᑐᑦ
ᐱᕙᓪᓕᐊᑎᑕᐅᔪᓂᑦ	ᐱ@ᕙᓪᓕᐊ@ᑎ@ᑕ@ᐅ@ᔪ@ᓂᑦ
ᐊᐱᕆᒍᓐᓇᕋᒪ	ᐊᐱᕆ@ᒍᓐᓇ@ᕋᒪ
ᐃᑲᔪᖅᓯᒻᒥᔭᕋᑦᑕᐅᖅ	ᐃᑲᔪᖅ@ᓯ@ᒻᒥ@ᔭᕋ@ᑦᑕᐅᖅ
ᐊᓪᓚᕝᕕᔅᓴᐅᔪᒧᑦ	ᐊᓪᓚᕝ@ᕕ@ᔅᓴ@ᐅ@ᔪ@ᒧᑦ
ᕿᒥᕐᕈᔨᐅᔪᓄᑦ	ᕿᒥᕐᕈ@ᔨ@ᐅ@ᔪ@ᓄᑦ
ᑲᑎᑕᐅᔪᖕᓇᕐᒪᖔᑕ	ᑲᑎ@ᑕ@ᐅ@ᔪᖕᓇᕐ@ᒪᖔᑕ
ᓇᖕᒥᓂᖃᖅᑐᑦ	ᓇᖕᒥᓂ@ᖃᖅ@ᑐᑦ
ᐃᓚᒋᔭᐅᔪᒃᓴᐅᕗᑦ	ᐃᓚ@ᒋ@ᔭ@ᐅ@ᔪᒃᓴ@ᐅ@ᕗᑦ
ᐱᔪᒪᓂᕆᔭᐅᔪᓂᑦ	ᐱ@ᔪᒪ@ᓂ@ᕆ@ᔭ@ᐅ@ᔪ@ᓂᑦ
ᐃᓄᒋᔭᐅᔪᓂᑦ	ᐃᓄ@ᒋ@ᔭ@ᐅ@ᔪ@ᓂᑦ
ᓇᔭᒪᑦᑕᐅᖅ	ᓇᔭ@ᒪ@ᑦᑕᐅᖅ
ᑎᒍᐊᑯᓗᒐ	ᑎᒍᐊ@ᑯᓗ@ᒐ
ᐅᓕᒃᑲᓐᓂᐊᓄᑦ	ᐅᓕ@ᒃᑲᓐᓂ@ᐊᓄᑦ
ᐅᑭᐊᔅᓵᖅ	ᐅᑭᐊᔅᓵᖅ
ᑭᐅᒍᒪᑉᐸᑕ	ᑭᐅ@ᒍᒪ@ᑉᐸᑕ
ᐱᓕᕆᖃᑕᐅᓚᐅᕋᒪ	ᐱ@ᓕᕆ@ᖃᑕᐅ@ᓚᐅ@ᕋᒪ
ᐋᖅᑭᒃᓱᐃᕙᓪᓕᐊᓪᓗᑕ	ᐋᖅᑭᒃ@ᓱ@ᐃ@ᕙᓪᓕᐊ@ᓪᓗᑕ
ᐱᓕᕆᖃᑎᖃᐃᓐᓇᕈᒪᓕᖅᑐᒍᑦ	ᐱ@ᓕᕆ@ᖃᑎ@ᖃ@ᐃᓐᓇ@ᕈᒪ@ᓕᖅ@ᑐᒍᑦ
ᐃᓐᓇᖅᑕᖃᕐᒪᑦ	ᐃᓐᓇᖅ@ᑕ@ᖃᕐ@ᒪᑦ
ᐃᓚᖃᓚᐅᕐᒪᖔᖅ	ᐃᓚ@ᖃ@ᓚᐅᕐ@ᒪᖔᖅ
ᑐᕌᒐᒃᓴᑦ	ᑐᕌ@ᒐ@ᒃᓴ@ᑦ
ᖃᐅᔨᔪᓐᓇᕐᒪᑦ	ᖃᐅᔨ@ᔪᓐᓇᕐ@ᒪᑦ
ᓇᒻᒥᓂᖃᖃᑕᐅᓗᓂ	ᓇᒻᒥᓂ@ᖃ@ᖃᑕᐅ@ᓗᓂ
ᐱᓕᕆᕕᒻᒥᑦ	ᐱ@ᓕᕆ@ᕕᒻ@ᒥᑦ
ᑯᕕᔪᓂᒃ	ᑯᕕ@ᔪ@ᓂᒃ
ᓇᓴᕋᓱᖕᓂᖓᓂᑦ	ᓇᓴ@ᕋᓱᖕ@ᓂ@ᖓᓂᑦ
ᐊᓪᓚᕝᕕᒻᒪᕆᒃ	ᐊᓪᓚᕝ@ᕕ@ᒻᒪᕆᒃ
ᐱᒋᐊᖁᖏᓗᒋᓪᓘᓐᓃᑦ	ᐱ@ᒋᐊ@ᖁ@ᖏ@ᓗ@ᒋᓪ@ᓘᓐᓃᑦ
ᓴᖅᑭᐸᒻᒪᖔᑕ	ᓴᖅᑭ@ᐸᒻ@ᒪᖔᑕ
ᐃᑲᔪᖅᑕᐅᔪᒪᖃᑦᑕᕋᒪ	ᐃᑲᔪᖅ@ᑕ@ᐅ@ᔪᒪ@ᖃᑦᑕ@ᕋᒪ
ᓱᕋᒐᔪᒃᑐᑦ	ᓱᕋ@ᒐᔪᒃ@ᑐᑦ
ᑐᓂᔭᐅᔪᒪᓪᓗᓂ	ᑐᓂ@ᔭ@ᐅ@ᔪᒪ@ᓪᓗᓂ
ᖃᐅᔨᒪᔭᑐᖃᖓᑕ	ᖃᐅᔨᒪ@ᔭ@ᑐᖃ@ᖓᑕ
ᐃᓄᑐᖃᕉᖅ	ᐃᓄ@ᑐᖃ@ᕉᖅ
ᐅᐱᕐᖔᕐᓘᓐᓃᑦ	ᐅᐱᕐᖔᕐ@ᓘᓐᓃᑦ
ᓴᖅᑭᑲᓐᓂᖃᑦᑕᕐᒪᑕ	ᓴᖅᑭ@ᑲᓐᓂ@ᖃᑦᑕᕐ@ᒪᑕ
ᖃᓂᓐᓂᓴᐅᒻᒪᑦ	ᖃᓂᓐ@ᓂ@ᓴ@ᐅ@ᒻᒪᑦ
ᑕᐃᒪᐃᓐᓇᓱᐊᖅᐳᒍᑦ	ᑕᐃᒪᐃᓐ@ᓇᓱᐊᖅ@ᐳᒍᑦ
ᑐᓪᓕᒻᒪ	ᑐᓪᓕᒻ@ᒪ
ᓴᓇᓕᕐᒪᑕ	ᓴᓇ@ᓕᕐ@ᒪᑕ
ᐃᓪᓗᑭᑦᓴᕐᒪᑕ	ᐃᓪᓗ@ᑭ@ᑦᓴᕐ@ᒪᑕ
ᑐᕌᕐᓗ	ᑐᕌᕐ@ᓗ
ᖃᐅᔨᒪᔭᖃᕐᓂᕐᒧᑦ	ᖃᐅᔨᒪ@ᔭ@ᖃᕐ@ᓂᕐ@ᒧᑦ
ᑐᓪᓕᕐᒧᑦ	ᑐᓪᓕᕐ@ᒧᑦ
ᓯᕗᓂᒃᓴᕆᒻᒪᔾᔪᒃ	ᓯᕗᓂ@ᒃᓴ@ᕆ@ᒻᒪᔾᔪᒃ
ᐅᐱᕐᖔᖅ	ᐅᐱᕐᖔᖅ
ᐳᐃᒍᕐᓂᕋᒪ	ᐳᐃᒍᕐ@ᓂ@ᕋᒪ
ᐅᒥᖕᒪᒃ	ᐅᒥᖕᒪᒃ
ᑭᐅᔪᒫᕐᒪᑕ	ᑭᐅ@ᔪᒫᕐ@ᒪᑕ
ᓴᓗᒻᒪᖅᓴᖅᑕᐅᓂᑦᓴᖓᓂᒃ	ᓴᓗᒻᒪᖅ@ᓴᖅ@ᑕ@ᐅ@ᓂ@ᑦᓴ@ᖓᓂᒃ
ᐃᓄᒃᓴᖓᓂᒃ	ᐃᓄ@ᒃᓴ@ᖓᓂᒃ
ᐊᕐᕙᕋ	ᐊᕐᕙ@ᕋ
ᐃᖏᕐᕋᖃᑦᑕᕐᒪᑕ	ᐃᖏᕐᕋ@ᖃᑦᑕᕐ@ᒪᑕ
ᐃᓚᒋᔭᐅᒍᑎᒃ	ᐃᓚ@ᒋ@ᔭ@ᐅ@ᒍᑎᒃ
ᐱᓕᕆᖃᑎᒋᔪᒪᑦᑎᐊᖅᐸᒃᑲ	ᐱ@ᓕᕆ@ᖃᑎ@ᒋ@ᔪᒪ@ᑦᑎᐊᖅ@ᐸ@ᒃᑲ
ᑐᓴᖅᑎᑕᐅᒋᐊᕐᓂᖅ	ᑐᓴᖅ@ᑎ@ᑕ@ᐅ@ᒋᐊᕐ@ᓂᖅ
ᓄᑲᖅᑎᖅᐹᒥᑦ	ᓄᑲᖅ@ᑎᖅ@ᐹ@ᒥᑦ
ᑐᕌᖓᑉᐸᑦ	ᑐᕌ@ᖓ@ᑉᐸᑦ
ᑕᑯᔪᒫᖅᐱᑎᒍᑦ	ᑕᑯ@ᔪᒫᖅ@ᐱᑎᒍᑦ
ᐊᕐᕌᖓᓄᑦ	ᐊᕐᕌ@ᖓᓄᑦ
ᐃᓚᖃᓚᐅᕐᒪᑕ	ᐃᓚ@ᖃ@ᓚᐅᕐ@ᒪᑕ
ᐱᓕᕆᖃᑕᐅᕙᑉᐳᖅ	ᐱ@ᓕᕆ@ᖃᑕᐅ@ᕙᑉ@ᐳᖅ
ᐱᓕᕆᖃᑕᐅᕙᑦᑐᑦ	ᐱ@ᓕᕆ@ᖃᑕᐅ@ᕙᑦ@ᑐᑦ
ᐱᕙᓪᓕᐊᔪᒥᒃ	ᐱ@ᕙᓪᓕᐊ@ᔪ@ᒥᒃ
ᐊᑭᑦᑐᕆᐊᕐᓂᖓᑦ	ᐊᑭ@ᑦᑐ@ᕆᐊᕐ@ᓂ@ᖓᑦ
ᐅᒡᒍᐊᕆᔭᕋᓗᐊᕋ	ᐅᒡᒍᐊ@ᕆ@ᔭ@ᕋᓗᐊ@ᕋ
ᑕᐃᔭᐅᔪᓐᓇᕐᒪᖔᑦ	ᑕᐃ@ᔭ@ᐅ@ᔪᓐᓇᕐ@ᒪᖔᑦ
ᑭᐅᔪᓐᓇᖅᓯᖕᒥᒐᒃᑯ	ᑭᐅ@ᔪᓐᓇᖅ@ᓯ@ᖕᒥ@ᒐᒃᑯ
ᖃᐃᑕᐅᒐᐃᒻᒪᑕ	ᖃᐃ@ᑕ@ᐅ@ᒐ@ᐃᒻ@ᒪᑕ
ᑎᓴᒪᐅᓚᐅᖅᐳᑦ	ᑎᓴ@ᒪ@ᐅ@ᓚᐅᖅ@ᐳᑦ
ᐳᓛᖃᑦᑕᖅᑐᕆᔭᐅᔪᑦ	ᐳᓛ@ᖃᑦᑕᖅ@ᑐ@ᕆ@ᔭ@ᐅ@ᔪᑦ
ᐱᖁᔭᒃᓴᐅᔪᒥᒃ	ᐱ@ᖁ@ᔭ@ᒃᓴ@ᐅ@ᔪ@ᒥᒃ
ᕿᑐᕐᖓᕆᔭᐅᔪᒥᒃ	ᕿᑐᕐᖓ@ᕆ@ᔭ@ᐅ@ᔪ@ᒥᒃ
ᖃᐅᔨᒍᓂᐅᒃ	ᖃᐅᔨ@ᒍᓂᐅᒃ
ᐃᒪᓐᓇᒃ	ᐃᒪᓐᓇᒃ
ᐊᓯᔾᔨᐊᕐᔪᒃᑲᓐᓂᕈᓂᐅᒃ	ᐊᓯ@ᔾᔨ@ᐊᕐᔪ@ᒃᑲᓐᓂ@ᕈᓂᐅᒃ
ᒥᓂᔅᑕᒎᖅ	ᒥᓂᔅᑕ@ᒎᖅ
ᐱᔨᑦᓯᕋᖅᑕᐅᔪᓐᓇᖅᑐᑦ	ᐱ@ᔨ@ᑦᓯ@ᕋᖅ@ᑕ@ᐅ@ᔪᓐᓇᖅ@ᑐᑦ
ᐱᐅᓂᕆᔭᖓᓄᑦ	ᐱ@ᐅ@ᓂ@ᕆ@ᔭ@ᖓᓄᑦ
ᓯᓚᒃᑐᕐᓴᕐᕕᒻᒧᑦ	ᓯᓚ@ᒃᑐᕐ@ᓴᕐ@ᕕᒻ@ᒧᑦ
ᑐᓂᔭᐅᓇᓱᒻᒪᑕ	ᑐᓂ@ᔭ@ᐅ@ᓇᓱᒻ@ᒪᑕ
ᓈᒻᒪᑐᓂᑦ	ᓈᒻᒪ@ᑐ@ᓂᑦ
ᐃᓕᖅᑯᓯᖃᖓᑕ	ᐃᓕᖅᑯᓯ@ᖃ@ᖓ@ᑕ
ᖃᐅᔨᓴᒐᒃᓴᑦᑎᓐᓂᖅ	ᖃᐅᔨ@ᓴ@ᒐ@ᒃᓴᑦ@ᑎᓐ@ᓂᖅ
ᑕᐱᕇᓪᓗᑕ	ᑕᐱ@ᕇᓪ@ᓗᑕ
ᑲᑕᓚᐅᕐᒥᒐᒪ	ᑲᑕ@ᓚᐅᕐ@ᒥ@ᒐᒪ
ᐱᓇᓱᒃᑯᑦᑕ	ᐱ@ᓇᓱᒃ@ᑯᑦᑕ
ᐊᖏᕐᓂᖓᓂᑦ	ᐊᖏᕐ@ᓂ@ᖓᓂᑦ
ᖁᕕᐊᓱᒍᑎᖃᕐᓗᑕ	ᖁᕕᐊ@ᓱ@ᒍᑎ@ᖃᕐ@ᓗᑕ
ᖃᐅᔨᒪᓇᓚᐅᕐᒥᒻᒪᑦ	ᖃᐅᔨᒪ@ᓇ@ᓚᐅᕐ@ᒥ@ᒻᒪᑦ
ᓇᒻᒥᓂᓗ	ᓇᒻᒥᓂ@ᓗ
ᐳᓚᕋᖅᑎᓪᓗᒋᑦ	ᐳᓚ@ᕋᖅ@ᑎᓪᓗᒋᑦ
ᐃᕐᓂᒐᓗ	ᐃᕐᓂ@ᒐ@ᓗ
ᐅᓯᓂᕐᒧᑦ	ᐅᓯ@ᓂᕐ@ᒧᑦ
ᒥᖃᑦᑕᖏᒻᒪᑕ	ᒥ@ᖃᑦᑕ@ᖏᒻ@ᒪᑕ
ᐊᑭᓕᔅᓴᐅᔪᓐᓇᖅᑐᑦ	ᐊᑭ@ᓕ@ᔅᓴ@ᐅ@ᔪᓐᓇᖅ@ᑐᑦ
ᑎᑭᑉᐸᓪᓕᐊᔪᓄᑦ	ᑎᑭᑉ@ᐸᓪᓕᐊ@ᔪ@ᓄᑦ
ᓇᖕᒥᓂᖅᑖᓂᕐᒧ	ᓇᖕᒥᓂᖅ@ᑖ@ᓂᕐ@ᒧ
ᐃᓄᖁᑎᑐᖃᕕᓂᕋ	ᐃᓄ@ᖁᑎ@ᑐᖃ@ᕕᓂ@ᕋ
ᐊᖓᔪᖃᐅᒃᑯᕕᐊ	ᐊᖓᔪ@ᖃ@ᐅ@ᒃᑯ@ᕕ@ᐊ
ᐱᒻᒪᕆᐅᓂᖃᒻᒪᖔᖅ	ᐱ@ᒻᒪᕆ@ᐅ@ᓂ@ᖃᒻᒪ@ᖔᖅ
ᕿᒥᕐᕈᒍᑦᓯᐅᒃ	ᕿᒥᕐᕈ@ᒍᑦᓯᐅᒃ
ᐃᒃᐱᓐᓇᕐᓂᖃᖅᑎᓪᓗᒋᑦ	ᐃᒃᐱᓐ@ᓇᕐ@ᓂ@ᖃᖅ@ᑎᓪᓗᒋᑦ
ᓄᖅᑲᖅᐸᓪᓕᐊᔪᓄᑦ	ᓄᖅᑲᖅ@ᐸᓪᓕᐊ@ᔪ@ᓄᑦ
ᕿᒥᕐᕈᒐᓱᐊᖅᑐᑦ	ᕿᒥᕐᕈ@ᒐᓱᐊᖅ@ᑐᑦ
ᐋᖅᑭᒃᓱᐃᓇᓱᖃᑦᑕᖅᑐᒍᑦ	ᐋᖅᑭᒃ@ᓱ@ᐃ@ᓇᓱ@ᖃᑦᑕᖅ@ᑐᒍᑦ
ᑭᕙᓪᓕᕐᒧᑦᑕᐅᖅ	ᑭᕙᓪᓕᕐ@ᒧᑦ@ᑕᐅᖅ
ᖁᕕᐊᓱᓪᓚᕆᒃᑐᒍᑦ	ᖁᕕᐊ@ᓱ@ᓪᓚᕆᒃ@ᑐᒍᑦ
ᓴᓇᒪᓂᕆᔭᐅᔪᓄᑦ	ᓴᓇ@ᒪ@ᓂ@ᕆ@ᔭ@ᐅ@ᔪ@ᓄᑦ
ᐱᓂᖓᓄᑦ	ᐱ@ᓂ@ᖓᓄᑦ
ᓂᑯᕕᒍᓐᓃᕋᒪ	ᓂᑯᕕ@ᒍᓐᓃ@ᕋᒪ
ᐃᑎᖅᐸᓪᓕᐊᔪᓄᑦ	ᐃᑎᖅ@ᐸᓪᓕᐊ@ᔪ@ᓄᑦ
ᑲᔪᓯᔪᓐᓇᕐᓂᖓᓄᑦ	ᑲᔪᓯ@ᔪᓐᓇᕐ@ᓂ@ᖓᓄᑦ
ᓴᓇᔭᐅᕙᓪᓕᐊᓕᕐᒪᒎᖅ	ᓴᓇ@ᔭ@ᐅ@ᕙᓪᓕᐊ@ᓕᕐ@ᒪ@ᒎᖅ
ᖃᐅᔨᓴᕐᓂᖃᖃᑦᑕᕐᒪᑕ	ᖃᐅᔨ@ᓴᕐ@ᓂ@ᖃ@ᖃᑦᑕᕐ@ᒪᑕ
ᐃᑲᔪᖅᑐᖅᑕᐅᔪᒪᖃᑦᑕᕐᒪᑕ	ᐃᑲᔪᖅ@ᑐᖅ@ᑕ@ᐅ@ᔪᒪ@ᖃᑦᑕᕐ@ᒪᑕ
ᐊᖏᔪᒻᒪᕆᖕᒥᑦ	ᐊᖏ@ᔪ@ᒻᒪᕆᖕ@ᒥᑦ
ᒥᑉᐸᓪᓕᐊᔪᓄᑦ	ᒥᑉ@ᐸᓪᓕᐊ@ᔪ@ᓄᑦ
ᐊᖏᕌᖓᑕᐃᓛᒃ	ᐊᖏ@ᕌᖓᑕ@ᐃᓛᒃ
ᐅᑉᓗᒥᒧᑦ	ᐅᑉᓗᒥ@ᒧᑦ
ᐃᓯᕌᖓᑦᑕ	ᐃᓯ@ᕌᖓᑦᑕ
ᑐᑭᓯᐊᒻᒥᔪᖓᑦᑕᐅᖅ	ᑐᑭᓯ@ᐊ@ᒻᒥ@ᔪᖓ@ᑦᑕᐅᖅ
ᐅᓂᒃᑳᕆᔪᓐᓇᖅᐱᒋᑦ	ᐅᓂᒃᑳ@ᕆ@ᔪᓐᓇᖅ@ᐱᒋᑦ
ᐊᔾᔨᒋᙱᐊᕐᔪᒃᑕᖓᓂᒃ	ᐊᔾᔨ@ᒋ@ᙱ@ᐊᕐᔪᒃ@ᑕ@ᖓᓂᒃ
ᓇᑦᑎᓕᖅᐸᓯᒻᒥ	ᓇᑦᑎ@ᓕᖅ@ᐸᓯᒻ@ᒥ
ᓴᖅᑭᒻᒪᓐ	ᓴᖅᑭᒻ@ᒪᓐ
ᐱᔭᔅᓴᖃᖃᑕᐅᕗᖔ	ᐱ@ᔭ@ᔅᓴ@ᖃ@ᖃᑕᐅ@ᕗᖔ
ᖁᕕᐊᓱᖃᑎᒌᓪᓗᑕᓗ	ᖁᕕᐊ@ᓱ@ᖃᑎ@ᒌᓪ@ᓗᑕ@ᓗ
ᑐᕌᒐᒃᓴᖃᕐᒥᒐᑦᑕ	ᑐᕌ@ᒐ@ᒃᓴ@ᖃᕐ@ᒥ@ᒐᑦᑕ
ᓄᔭᓕᐊᕐᒧᑦ	ᓄᔭ@ᓕᐊᕐ@ᒧᑦ
ᐃᓄᑐᐃᓐᓇᐅᔪᒍᑦ	ᐃᓄ@ᑐᐃᓐᓇ@ᐅ@ᔪᒍᑦ
ᐊᕿᐊᕈᕐᒧᑦ	ᐊᕿᐊᕈᕐ@ᒧᑦ
ᓈᓴᐃᔨᖃᕐᒥᒐᑦᑕ	ᓈ@ᓴ@ᐃ@ᔨ@ᖃᕐ@ᒥ@ᒐᑦᑕ
ᐅᖃᕋᓱᓕᕌᖓᒪ	ᐅᖃ@ᕋᓱ@ᓕ@ᕌᖓᒪ
ᐱᓕᕆᕙᑦᑎᓪᓗᒍ	ᐱ@ᓕᕆ@ᕙᑦ@ᑎᓪᓗᒍ
ᓈᓚᓐᓂᐅᔪᓄᑦ	ᓈᓚᓐ@ᓂ@ᐅ@ᔪ@ᓄᑦ
ᐱᓕᕆᔪᓐᓇᕐᒪᑦ	ᐱ@ᓕᕆ@ᔪᓐᓇᕐ@ᒪᑦ
ᓴᖅᑭᑲᓐᓂᒥᒻᒪᒍ	ᓴᖅᑭ@ᑲᓐᓂ@ᒥ@ᒻᒪᒍ
ᐱᕙᓪᓕᐊᔭᐃᓂᖃᖅᐳᒍᑦ	ᐱ@ᕙᓪᓕᐊ@ᔭ@ᐃ@ᓂ@ᖃᖅ@ᐳᒍᑦ
ᑐᔪᓯᕐᒧᑦ	ᑐᔪ@ᓯᕐ@ᒧᑦ
ᕿᒥᕐᕈᓇᕆᓚᐅᖅᑕᖓᓂᒃ	ᕿᒥᕐᕈ@ᓇ@ᕆ@ᓚᐅᖅ@ᑕ@ᖓᓂᒃ
ᑐᓵᒍᕕᑦ	ᑐᓵ@ᒍᕕᑦ
ᐋᖅᑭᒃᑕᐅᕙᓪᓕᐊᓕᖅᑐᑦ	ᐋᖅᑭᒃ@ᑕ@ᐅ@ᕙᓪᓕᐊ@ᓕᖅ@ᑐᑦ
ᐅᑎᕈᓐᓇᕐᕕᐊ	ᐅᑎ@ᕈᓐᓇᕐ@ᕕ@ᐊ
ᐱᖃᓯᐅᑎᒐᔭᕐᑐᑦ	ᐱ@ᖃ@ᓯ@ᐅ@ᑎ@ᒐ@ᔭᕐ@ᑐᑦ
ᓈᒻᒪᒃᑐᖃᙱᒻᒪᑦ	ᓈᒻᒪᒃ@ᑐ@ᖃ@ᙱᒻ@ᒪᑦ
ᐱᑐᖃᒥᓂᐅᔪᑦ	ᐱ@ᑐᖃ@ᒥᓂ@ᐅ@ᔪᑦ
ᐃᖅᑲᓇᐃᔮᖃᓕᖅᑐᒍᑦ	ᐃᖅᑲᓇᐃᔮ@ᖃ@ᓕᖅ@ᑐᒍᑦ
ᓇᑎᓕᒫᕐᒧᑦ	ᓇᑎ@ᓕᒫᕐ@ᒧᑦ
ᑕᓪᓕᕐᒥᐅᒻᒪᑦ	ᑕᓪᓕᕐ@ᒥ@ᐅ@ᒻᒪᑦ
ᑐᒡᓕᖅᐹᖓᓂᒃ	ᑐᒡᓕᖅ@ᐹ@ᖓᓂᒃ
ᐃᖅᑲᓇᐃᔮᖃᕐᐸᑦᑐᑦ	ᐃᖅᑲᓇᐃᔮ@ᖃᕐ@ᐸᑦ@ᑐᑦ
ᐊᔭᐅᕈᑕᐅᒃᑲᓐᓂᕐᓗᓂ	ᐊᔭ@ᐅ@ᕈᑕ@ᐅ@ᒃᑲᓐᓂᕐ@ᓗᓂ
ᑐᓴᖅᓴᐅᕋᑖᕐᒪᑎᒃ	ᑐᓴᖅ@ᓴ@ᐅ@ᕋᑖᕐ@ᒪᑎᒃ
ᐊᖏᖅᑕᐅᓪᓗᓂᓗ	ᐊᖏᖅ@ᑕ@ᐅ@ᓪᓗᓂ@ᓗ
ᐱᖓᓐᓇᖓᓂᒃ	ᐱ@ᖓ@ᓐᓇ@ᖓᓂᒃ
ᐅᖃᒪᖃᑎᖃᖅᑐᑦ	ᐅᖃ@ᒪ@ᖃᑎ@ᖃᖅ@ᑐᑦ
ᐃᓂᐊᑕ	ᐃᓂ@ᐊ@ᑕ
ᐄᔭᒐᖅ	ᐄ@ᔭ@ᒐᖅ
ᑲᔪᓯᔪᖃᓚᐅᕐᒪᑦ	ᑲᔪᓯ@ᔪ@ᖃ@ᓚᐅᕐ@ᒪᑦ
ᑲᒪᒋᔭᓕᒻᒥᑦ	ᑲᒪ@ᒋ@ᔭ@ᓕᒻ@ᒥᑦ
ᐊᓕᐊᓇᐃᒍᓱᓚᐅᕐᒪᑕ	ᐊᓕᐊᓇᐃ@ᒍᓱ@ᓚᐅᕐ@ᒪᑕ
ᐱᖃᑕᐅᖁᔨᓪᓗᑕ	ᐱᖃᑕ@ᐅ@ᖁ@ᔨ@ᓪᓗᑕ
ᓯᖁᒥᓯᒪᒻᒪᑦ	ᓯᖁᒥ@ᓯ@ᒪ@ᒻᒪᑦ
ᓇᓗᓇᐃᑲᐃᓐᓇᕈᓐᓇᖅᐸᐅᒃ	ᓇᓗᓇ@ᐃ@ᑲᐃᓐᓇ@ᕈᓐᓇᖅ@ᐸᐅᒃ
ᐱᕙᓪᓕᐊᔪᓕᕆᔨᐅᔪᒍᑦ	ᐱ@ᕙᓪᓕᐊ@ᔪ@ᓕᕆ@ᔨ@ᐅ@ᔪᒍᑦ
ᐱᖅᑲᐅᒻᒪᑕ	ᐱ@ᖅᑲᐅ@ᒻᒪᑕ
ᐱᕚᓪᓕᖅᑎᓯᒪ	ᐱ@ᕚᓪᓕᖅ@ᑎ@ᓯ@ᒪ
ᐊᕐᓇᐅᔪᓄᑦ	ᐊᕐᓇ@ᐅ@ᔪ@ᓄᑦ
ᓄᐃᑎᑦᑎᔪᒪᒍᕕᑦ	ᓄᐃ@ᑎᑦ@ᑎ@ᔪᒪ@ᒍᕕᑦ
ᓴᓇᒋᐊᕈᑕᐅᔪᑦ	ᓴᓇ@ᒋᐊ@ᕈᑕ@ᐅ@ᔪᑦ
ᐃᖅᑲᓇᐃᔮᕆᖕᒥᒐᒥᔾᔪᒃ	ᐃᖅᑲᓇᐃᔮ@ᕆ@ᖕᒥ@ᒐᒥᔾᔪᒃ
ᑭᐅᔪᓐᓇᓛᕋᒪ	ᑭᐅ@ᔪᓐᓇ@ᓛ@ᕋᒪ
ᑖᔅᓱᒪᑦ	ᑖᔅ@ᓱ@ᒪᑦ
ᖃᑦᑎᓪᓗ	ᖃᑦᑎᓪ@ᓗ
ᐅᖃᓪᓚᕝᕕᐅᓪᓗᑕᓗ	ᐅᖃᓪᓚᕝ@ᕕ@ᐅ@ᓪᓗᑕ@ᓗ
ᒫᓐᓇᓯ	ᒫᓐᓇ@ᓯ
ᐊᔪᖅᓴᓂᕐᒥᑦ	ᐊᔪᖅ@ᓴ@ᓂᕐ@ᒥᑦ
ᐊᑭᖃᖅᑎᒋᕗᑦ	ᐊᑭ@ᖃᖅ@ᑎᒋ@ᕗᑦ
ᖃᐅᔨᒪᔨᐅᒻᒪᑕ	ᖃᐅᔨᒪ@ᔨ@ᐅ@ᒻᒪᑕ
